SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
1,1,2,2,2,1,2144.57,4,nonwex2_2.png
1,2,1,4,1,0,6669.51,1,nonwin2.png
1,3,2,4,4,1,1793.32,4,nonwex12.png
1,4,2,1,1,1,1672.23,4,nonwex2_1.png
1,5,2,3,3,1,1580.44,4,nonwin3.png
1,6,1,4,4,1,1323.04,4,nonwin6.png
1,7,1,4,4,1,1737.38,4,nonwex2.png
1,8,1,1,1,1,3034.58,2,nonwin2_11.png
1,9,2,2,2,1,5322.02,1,nonwex5.png
1,10,2,1,1,1,1743.56,4,nonwin10.png
1,11,1,2,1,0,6651.69,1,nonwin1.png
1,12,1,4,1,0,2940.49,1,nonwex6.png
1,13,2,4,4,1,1582.37,4,nonwex10.png
1,14,2,4,4,1,871.46,4,nonwex9.png
1,15,1,3,4,0,3034.97,1,nonwin7.png
1,16,2,1,3,0,6874.14,1,nonwin2_10.png
1,17,2,3,3,1,1485.3,2,nonwex2_10.png
1,18,1,2,2,1,2441.35,2,nonwin12.png
1,19,1,4,4,1,2997.45,2,nonwex4.png
1,20,1,1,1,1,2343.1,2,nonwin2_7.png
1,21,1,3,4,0,4043.34,1,nonwex2_8.png
1,22,1,3,3,1,1776.09,2,nonwex2_5.png
1,23,2,2,2,1,2273.66,4,nonwex2_3.png
1,24,1,2,4,0,3869.75,2,nonwin2_4.png
1,25,1,1,2,0,3661.22,1,nonwex2_11.png
1,26,1,2,3,0,1650.09,2,nonwex3.png
1,27,1,4,4,1,3675.37,1,nonwin2_2.png
1,28,2,3,1,0,3314.7,1,nonwex7.png
1,29,1,1,3,0,5628.61,1,nonwex2_6.png
1,30,2,4,3,0,1028.7,1,nonwex1.png
1,31,2,1,3,0,1949.37,1,nonwin11.png
1,32,1,1,2,0,2308.09,1,nonwex11.png
1,33,1,3,3,1,1933.54,1,nonwex8.png
1,34,1,3,3,1,1366.77,4,nonwex2_7.png
1,35,1,2,2,1,2431.79,4,nonwex2_9.png
1,36,1,2,2,1,1646.63,4,nonwin8.png
1,37,2,2,2,1,3807.83,4,nonwin2_3.png
1,38,2,1,3,0,4620.82,1,nonwin4.png
1,39,2,3,1,0,3666.29,2,nonwin2_12.png
1,40,1,3,4,0,3836.25,1,nonwin2_8.png
1,41,1,1,4,0,4124.17,1,nonwin2_1.png
1,42,2,3,3,1,3003.98,4,nonwin9.png
1,43,2,3,3,1,3616.48,1,nonwin2_5.png
1,44,2,4,4,1,1055.79,4,nonwex2_4.png
1,45,2,4,1,0,5059.38,1,nonwin2_6.png
1,46,2,2,2,1,3011.6,4,nonwex2_12.png
1,47,2,2,3,0,1602.84,4,nonwin5.png
1,48,2,1,4,0,2908.01,1,nonwin2_9.png
2,1,1,3,1,0,3542.11,3,nonwin6.png
2,2,1,4,3,0,2593.37,4,nonwex2_8.png
2,3,1,1,1,1,2702.79,4,nonwex2_12.png
2,4,2,3,3,1,5149.36,4,nonwex2_10.png
2,5,1,4,4,1,2091.65,4,nonwin9.png
2,6,2,2,2,1,2986.68,3,nonwex11.png
2,7,1,3,2,0,1795.54,3,nonwin11.png
2,8,1,4,3,0,3680.83,2,nonwex8.png
2,9,1,3,1,0,3079.28,2,nonwex2_5.png
2,10,2,2,3,0,3277.13,1,nonwin8.png
2,11,1,3,1,0,6981.26,4,nonwex2_3.png
2,12,1,2,3,0,5692.03,2,nonwex7.png
2,13,2,2,2,1,2193.35,3,nonwex2_4.png
2,14,1,1,1,1,2011.85,3,nonwin1.png
2,15,2,3,3,1,3921.47,4,nonwin7.png
2,16,2,3,3,1,1287.36,4,nonwex2_7.png
2,17,2,3,3,1,3147.69,4,nonwin2_1.png
2,18,1,4,4,1,1318.07,4,nonwin2_7.png
2,19,2,2,2,1,1250.63,4,nonwin2_9.png
2,20,1,4,1,0,4793.12,3,nonwex5.png
2,21,1,2,1,0,2964.03,3,nonwin2_12.png
2,22,1,2,2,1,1231.03,3,nonwex3.png
2,23,1,3,3,1,2269.39,2,nonwex2_1.png
2,24,2,2,2,1,1661.94,4,nonwex1.png
2,25,2,3,1,0,2465.6,4,nonwin2_10.png
2,26,2,4,4,1,3362.06,3,nonwin2_2.png
2,27,1,3,2,0,3408.95,2,nonwex2.png
2,28,1,1,1,1,6973.44,1,nonwin2_6.png
2,29,2,4,2,0,2991.7,2,nonwin2_5.png
2,30,2,4,3,0,4621.27,2,nonwex2_2.png
2,31,2,4,3,0,2668.94,3,nonwex6.png
2,32,2,1,3,0,2984.96,1,nonwin2_4.png
2,33,2,3,3,1,2883.26,4,nonwex12.png
2,34,1,2,2,1,2115.27,3,nonwex9.png
2,35,2,4,1,0,4117.76,1,nonwin12.png
2,36,2,1,1,1,2156.63,3,nonwin2_3.png
2,37,1,2,3,0,4419.63,2,nonwex2_9.png
2,38,1,2,3,0,1829.09,3,nonwin2.png
2,39,2,1,1,1,1404.61,4,nonwin5.png
2,40,2,1,1,1,5608.58,1,nonwex4.png
2,41,1,1,1,1,2005.37,3,nonwin4.png
2,42,2,2,2,1,2284.76,1,nonwex2_6.png
2,43,2,1,1,1,2512.76,4,nonwin10.png
2,44,1,4,2,0,2157.77,2,nonwex10.png
2,45,2,1,2,0,8904.7,3,nonwin2_8.png
2,46,1,1,4,0,2055.68,3,nonwex2_11.png
2,47,1,1,3,0,3736.16,2,nonwin2_11.png
2,48,2,4,2,0,1760.85,2,nonwin3.png
3,1,1,1,1,1,8485.01,2,nonwin5.png
3,2,2,3,3,1,1638.8,4,nonwex2_12.png
3,3,1,2,2,1,2090.88,4,nonwex2_7.png
3,4,2,3,3,1,3063.37,2,nonwex2_8.png
3,5,2,1,1,1,939.78,4,nonwex5.png
3,6,1,2,2,1,855.43,4,nonwin2_1.png
3,7,1,3,4,0,1482.93,1,nonwin2_10.png
3,8,1,3,1,0,990.69,3,nonwin12.png
3,9,2,4,4,1,1647.77,4,nonwin9.png
3,10,2,4,4,1,731.53,4,nonwin6.png
3,11,1,3,4,0,4628.32,1,nonwin2_9.png
3,12,2,1,1,1,1468.4,4,nonwex10.png
3,13,2,3,3,1,1034.84,4,nonwex8.png
3,14,1,4,1,0,4958.58,1,nonwex11.png
3,15,2,4,4,1,2337.16,1,nonwin2_7.png
3,16,1,3,3,1,1997.51,4,nonwex4.png
3,17,2,2,1,0,924.05,1,nonwin2.png
3,18,1,2,1,0,989.3,3,nonwin2_3.png
3,19,2,1,1,1,1392.99,4,nonwex2_5.png
3,20,2,4,1,0,991.33,3,nonwex3.png
3,21,2,3,4,0,1400.32,1,nonwin4.png
3,22,2,1,1,1,2958.96,3,nonwex2_9.png
3,23,1,3,3,1,1283.47,1,nonwin3.png
3,24,1,3,3,1,1516.66,1,nonwex2_6.png
3,25,2,3,3,1,2331.26,4,nonwex2.png
3,26,1,4,2,0,1231.37,4,nonwex2_4.png
3,27,1,2,2,1,787.12,4,nonwin8.png
3,28,2,1,1,1,2294.65,1,nonwin2_11.png
3,29,2,3,2,0,5565.69,3,nonwin11.png
3,30,2,4,4,1,992.49,3,nonwin2_6.png
3,31,2,2,1,0,1732.63,1,nonwex2_1.png
3,32,1,4,1,0,1275.33,2,nonwin2_8.png
3,33,2,1,1,1,1687.09,4,nonwin2_12.png
3,34,1,1,2,0,1168.22,3,nonwex6.png
3,35,1,4,2,0,844.02,4,nonwex12.png
3,36,2,2,1,0,1623.47,2,nonwex2_3.png
3,37,1,2,2,1,899.64,4,nonwex2_2.png
3,38,2,4,3,0,2612.22,2,nonwex7.png
3,39,1,1,1,1,1027.86,3,nonwex1.png
3,40,1,1,2,0,2684.8,3,nonwin2_2.png
3,41,1,2,2,1,835.87,4,nonwex2_10.png
3,42,1,4,1,0,1831.55,1,nonwin10.png
3,43,1,1,1,1,6123.72,1,nonwin7.png
3,44,2,2,3,0,1662.85,1,nonwin1.png
3,45,1,1,1,1,1181.3,3,nonwin2_5.png
3,46,2,2,1,0,1755.66,1,nonwex9.png
3,47,2,2,2,1,855.57,4,nonwex2_11.png
3,48,1,4,4,1,4403.13,1,nonwin2_4.png
4,1,2,3,1,0,6850.58,1,nonwin6.png
4,2,1,4,3,0,4841.08,1,nonwex5.png
4,3,1,3,1,0,3480.65,3,nonwin2_9.png
4,4,1,4,3,0,2432.56,2,nonwin9.png
4,5,1,3,1,0,1979,1,nonwin2_5.png
4,6,2,2,3,0,1986.93,3,nonwin8.png
4,7,1,4,1,0,5071.12,2,nonwex9.png
4,8,2,4,3,0,3930.72,1,nonwin2_11.png
4,9,1,1,3,0,3592.45,3,nonwin2_12.png
4,10,2,4,2,0,2017.09,2,nonwex4.png
4,11,2,3,4,0,6284.66,2,nonwin2_4.png
4,12,1,1,1,1,2480.87,2,nonwex2_3.png
4,13,2,1,2,0,1835.83,2,nonwin2_8.png
4,14,2,2,2,1,26512.39,2,nonwex3.png
4,15,1,2,1,0,1926.21,2,nonwin11.png
4,16,2,3,3,1,1855.25,3,nonwex2_7.png
4,17,1,2,4,0,8723.6,3,nonwin2_10.png
4,18,1,3,1,0,947.44,1,nonwex10.png
4,19,2,4,1,0,1674.07,2,nonwin2_2.png
4,20,1,3,1,0,1864.42,3,nonwin4.png
4,21,1,4,3,0,3027.39,2,nonwin2_3.png
4,22,2,2,2,1,3902.64,2,nonwin2_7.png
4,23,2,1,4,0,2277.56,1,nonwex2_8.png
4,24,1,1,3,0,1499.06,3,nonwex2_12.png
4,25,2,2,1,0,2163.18,3,nonwin12.png
4,26,2,3,3,1,2833.92,3,nonwex6.png
4,27,1,4,2,0,1230.1,2,nonwin3.png
4,28,2,3,3,1,54665.07,2,nonwex8.png
4,29,1,1,1,1,5380.01,2,nonwex2_4.png
4,30,1,2,2,1,2235.41,2,nonwex2_2.png
4,31,1,2,3,0,1407.07,3,nonwex7.png
4,32,1,1,1,1,2050.22,4,nonwin5.png
4,33,2,2,2,1,2389.86,4,nonwex2_6.png
4,34,1,2,4,0,1508.32,3,nonwex2_1.png
4,35,1,1,2,0,3329.06,2,nonwex1.png
4,36,2,1,3,0,1580.73,2,nonwin1.png
4,37,2,3,1,0,1687.62,3,nonwex2_9.png
4,38,2,2,4,0,6962.45,2,nonwex2_11.png
4,39,2,1,3,0,4044,2,nonwex11.png
4,40,2,1,1,1,1459.75,1,nonwex2.png
4,41,1,2,1,0,4157.19,2,nonwex12.png
4,42,2,4,1,0,7677.06,3,nonwin2_1.png
4,43,2,4,1,0,3078.59,2,nonwex2_5.png
4,44,1,4,3,0,1876.44,3,nonwin10.png
4,45,2,1,1,1,2326.66,3,nonwin7.png
4,46,2,4,3,0,1385.24,3,nonwin2.png
4,47,1,3,3,1,1481.32,4,nonwin2_6.png
4,48,1,3,3,1,1054.62,3,nonwex2_10.png
5,1,1,3,4,0,7226.86,1,nonwex6.png
5,2,2,1,1,1,4857.6,2,nonwin4.png
5,3,1,2,3,0,5565.47,2,nonwin12.png
5,4,1,4,3,0,10257.49,3,nonwex3.png
5,5,2,3,3,1,4735.46,4,nonwex2_3.png
5,6,1,1,4,0,2816.38,2,nonwin2_4.png
5,7,1,2,2,1,3768.33,2,nonwex2_6.png
5,8,2,4,3,0,5093.87,1,nonwin2_3.png
5,9,2,3,1,0,2313.99,4,nonwin9.png
5,10,2,4,3,0,3079.85,1,nonwex12.png
5,11,2,1,2,0,2074.82,2,nonwin2_5.png
5,12,1,3,2,0,5198.52,2,nonwin8.png
5,13,2,4,1,0,3080.96,1,nonwin2_10.png
5,14,2,1,3,0,7737.33,3,nonwex2_2.png
5,15,2,2,2,1,1188.1,3,nonwex9.png
5,16,1,2,4,0,2474.7,1,nonwex2.png
5,17,1,3,1,0,1460.88,2,nonwin7.png
5,18,1,4,1,0,4331.75,1,nonwin1.png
5,19,2,4,3,0,13379.31,3,nonwin11.png
5,20,1,2,1,0,6236.8,1,nonwin6.png
5,21,2,2,2,1,8243.07,2,nonwex2_10.png
5,22,2,1,3,0,4552.12,3,nonwin2_12.png
5,23,1,1,3,0,2745.83,3,nonwin2_1.png
5,24,2,2,1,0,1404.49,1,nonwin2_9.png
5,25,2,4,4,1,11089.23,2,nonwex5.png
5,26,1,4,2,0,3529.33,3,nonwin2_8.png
5,27,2,3,3,1,3912.62,1,nonwin3.png
5,28,1,3,2,0,4890.76,2,nonwex2_5.png
5,29,1,3,3,1,1994.91,4,nonwin2_11.png
5,30,1,2,4,0,1791.59,4,nonwex4.png
5,31,1,3,2,0,6528.84,1,nonwex8.png
5,32,2,4,1,0,1256.25,1,nonwex7.png
5,33,1,1,3,0,3448.87,2,nonwin2_7.png
5,34,2,3,1,0,6355.83,2,nonwex10.png
5,35,2,2,4,0,3729.6,3,nonwex2_12.png
5,36,1,4,2,0,2967.46,1,nonwex2_7.png
5,37,1,1,3,0,2284.87,1,nonwin2.png
5,38,1,4,2,0,2952.9,3,nonwex2_11.png
5,39,1,1,3,0,7245.48,2,nonwex2_9.png
5,40,2,3,1,0,3423.97,3,nonwex1.png
5,41,2,1,2,0,3031.94,3,nonwin10.png
5,42,2,2,3,0,11328.74,2,nonwex2_4.png
5,43,1,2,2,1,3208.91,3,nonwex2_8.png
5,44,2,3,1,0,1323.97,3,nonwin5.png
5,45,2,1,3,0,2541.23,1,nonwex2_1.png
5,46,2,2,2,1,1235.65,1,nonwin2_6.png
5,47,1,4,3,0,1420.86,1,nonwin2_2.png
5,48,1,1,3,0,2896.19,3,nonwex11.png
6,1,1,4,3,0,2656.56,3,nonwex2_1.png
6,2,1,3,3,1,7871.95,2,nonwin2_11.png
6,3,1,4,1,0,4812.54,1,nonwex9.png
6,4,2,2,4,0,2102.84,1,nonwin2_1.png
6,5,1,2,1,0,2594.51,4,nonwin9.png
6,6,2,3,2,0,4043.75,1,nonwin2_5.png
6,7,1,4,4,1,2271.22,1,nonwin2_7.png
6,8,1,4,2,0,1398.04,1,nonwex2.png
6,9,2,1,1,1,1665.13,3,nonwin2_4.png
6,10,2,3,3,1,2016.49,3,nonwin2_2.png
6,11,1,3,1,0,2801.38,3,nonwex10.png
6,12,2,3,3,1,2184.69,3,nonwin12.png
6,13,1,2,2,1,1746.37,3,nonwex2_8.png
6,14,2,4,4,1,1680.55,1,nonwin2_8.png
6,15,1,2,2,1,1818.78,1,nonwex2_5.png
6,16,2,1,4,0,1988.9,2,nonwex2_10.png
6,17,2,3,2,0,2397.21,2,nonwex2_6.png
6,18,1,1,1,1,5071.28,3,nonwex2_9.png
6,19,2,4,4,1,1804.18,3,nonwin3.png
6,20,2,1,3,0,2922.26,2,nonwex2_7.png
6,21,1,2,1,0,1676.02,4,nonwin6.png
6,22,1,1,3,0,1420.13,4,nonwin11.png
6,23,2,1,4,0,1907.6,3,nonwin5.png
6,24,1,2,2,1,1297.07,3,nonwin2_6.png
6,25,1,4,4,1,1384.07,1,nonwex2_12.png
6,26,2,4,2,0,690.14,1,nonwex4.png
6,27,2,4,2,0,903.78,1,nonwex6.png
6,28,2,3,3,1,1550.02,3,nonwin2_3.png
6,29,1,3,1,0,906.65,3,nonwin2.png
6,30,1,3,4,0,2215.69,2,nonwex5.png
6,31,2,1,2,0,983.21,2,nonwex12.png
6,32,1,3,4,0,1455.77,1,nonwex8.png
6,33,1,4,1,0,1417,3,nonwin1.png
6,34,2,4,3,0,944.69,3,nonwin2_9.png
6,35,2,2,2,1,1378.68,1,nonwin10.png
6,36,1,3,4,0,955.4,2,nonwex2_3.png
6,37,1,1,4,0,994.64,1,nonwex3.png
6,38,2,2,2,1,958.12,3,nonwex2_2.png
6,39,2,2,4,0,815.88,1,nonwin2_10.png
6,40,1,1,2,0,770.08,1,nonwex7.png
6,41,1,1,4,0,2255.21,4,nonwex2_11.png
6,42,2,2,3,0,2206.87,2,nonwex11.png
6,43,2,1,2,0,1890.54,1,nonwin8.png
6,44,2,3,4,0,665.14,2,nonwex1.png
6,45,1,2,2,1,714,2,nonwin2_12.png
6,46,1,1,4,0,1275.61,2,nonwin4.png
6,47,2,4,4,1,1378.82,1,nonwex2_4.png
6,48,2,2,3,0,2026.87,3,nonwin7.png
7,1,1,4,2,0,3537.16,2,nonwex2_2.png
7,2,2,1,1,1,1558.37,2,nonwin2.png
7,3,2,4,4,1,2160.05,4,nonwin11.png
7,4,2,1,1,1,996.26,3,nonwex7.png
7,5,2,3,3,1,1887.73,4,nonwex2_11.png
7,6,1,4,2,0,1350.73,2,nonwin3.png
7,7,1,1,3,0,2186.51,4,nonwin2_3.png
7,8,2,3,3,1,1286.63,4,nonwex2_12.png
7,9,2,2,2,1,2703.62,3,nonwex2.png
7,10,2,4,4,1,1291.94,4,nonwin6.png
7,11,1,1,1,1,2426.3,4,nonwin7.png
7,12,1,3,3,1,3009.21,1,nonwin2_2.png
7,13,1,3,3,1,1200.27,2,nonwin2_5.png
7,14,1,4,2,0,1596.25,2,nonwex2_6.png
7,15,2,3,4,0,9411.68,2,nonwex2_5.png
7,16,1,2,2,1,1605.63,3,nonwin2_9.png
7,17,1,2,4,0,2316.16,4,nonwin2_1.png
7,18,2,4,4,1,1362.91,4,nonwex3.png
7,19,1,3,1,0,1529.49,2,nonwin2_8.png
7,20,2,3,3,1,1445.31,3,nonwex5.png
7,21,1,1,4,0,1825.04,1,nonwex4.png
7,22,2,2,2,1,882.16,4,nonwin9.png
7,23,2,4,4,1,981.71,4,nonwin2_11.png
7,24,1,4,2,0,1886.68,2,nonwin2_4.png
7,25,2,2,2,1,1541.22,4,nonwex2_3.png
